pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
1011.0,   32, 20.4, 19.6, 19.6, 95, 95,14.33,  0, 0.0
1004.0,   94, 22.2, 19.5, 19.5, 85, 85,14.35,255, 2.0
1000.0,  130, 22.0, 20.0, 20.0, 88, 88,14.87,195, 3.1
 954.0,  539, 18.6, 18.1, 18.1, 97, 97,13.82,241, 5.0
 950.0,  575, 18.4, 17.4, 17.4, 93, 93,13.23,245, 5.2
 929.0,  767, 17.6, 13.4, 13.4, 76, 76,10.43,255, 8.8
 925.0,  804, 17.4, 12.6, 12.6, 73, 73, 9.96,255, 9.8
 915.0,  897, 18.0, 10.0, 10.0, 60, 60, 8.45,250, 9.4
 877.0, 1259, 15.6,  9.6,  9.6, 67, 67, 8.59,231, 7.8
 876.0, 1268, 15.7,  9.7,  9.7, 67, 67, 8.65,230, 7.7
 873.0, 1297, 16.0, 10.0, 10.0, 68, 68, 8.86,232, 8.0
 857.0, 1454, 15.2,  9.2,  9.2, 67, 67, 8.53,245, 9.8
 850.0, 1524, 14.8,  8.8,  8.8, 67, 67, 8.39,245,10.8
 797.0, 2067, 11.7,  8.7,  8.7, 82, 82, 8.90,240,14.9
 792.0, 2120, 11.4,  8.7,  8.7, 83, 83, 8.95,240,14.7
 763.0, 2431,  9.6,  3.6,  3.6, 66, 66, 6.51,243,13.4
 752.0, 2552,  9.2,  4.6,  4.6, 73, 73, 7.09,244,12.9
 710.0, 3026,  5.4,  4.2,  4.2, 92, 92, 7.31,249,10.8
 700.0, 3142,  4.8,  1.6,  1.6, 80, 80, 6.15,250,10.3
 695.0, 3200,  4.4, -0.6, -0.5, 70, 70, 5.28,248,11.0
 670.0, 3496,  1.9, -2.0, -1.7, 76, 76, 4.95,240,14.4
 658.0, 3641,  0.7, -2.6, -2.3, 78, 78, 4.80,255,13.4
 641.0, 3852, -1.1, -3.6, -3.2, 83, 84, 4.58,253,13.2
 616.0, 4168, -3.1,-10.1, -9.0, 58, 60, 2.88,251,13.0
 605.0, 4311, -3.1,-17.0,-15.2, 33, 34, 1.67,250,12.9
 597.0, 4416, -3.1,-22.1,-19.9, 22, 22, 1.09,254,13.8
 573.0, 4739, -4.9,-25.9,-23.4, 18, 18, 0.81,268,16.5
 569.0, 4794, -3.9,-32.9,-29.9,  8,  9, 0.42,270,17.0
 568.0, 4808, -3.7,-34.7,-31.5,  7,  7, 0.36,270,16.8
 541.0, 5187, -6.3,-32.7,-29.7, 10, 11, 0.45,280,11.3
 516.0, 5555, -8.8,-30.8,-27.9, 15, 16, 0.57,270,12.4
 500.0, 5800,-10.5,-29.5,-26.7, 19, 21, 0.67,285,12.4
 485.0, 6033,-12.1,-30.1,-27.2, 21, 23, 0.65,283,13.1
 460.0, 6428,-15.6,-31.9,-28.9, 23, 27, 0.58,280,14.4
 436.0, 6827,-19.1,-33.7,-30.6, 26, 32, 0.51,270,15.4
 428.0, 6966,-20.3,-34.4,-31.2, 27, 33, 0.49,280,14.4
 401.0, 7451,-24.5,-36.6,-33.3, 32, 40, 0.42,285,14.9
