pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 400.0, 7470,-24.7,-36.7,-33.4, 32, 41, 0.41,285,14.9
 361.0, 8202,-30.8,-40.2,-36.7, 40, 54, 0.32,260,12.9
 345.0, 8526,-33.6,-41.7,-38.1, 44, 61, 0.29,270,12.9
 343.0, 8568,-33.9,-41.9,-38.3, 44, 62, 0.28,270,13.0
 320.0, 9049,-38.1,-41.4,-37.8, 71,103, 0.32,273,15.1
 300.0, 9490,-41.9,-46.9,-43.0, 58, 88, 0.19,275,17.0
 293.0, 9650,-43.5,-48.4,-44.5, 58, 89, 0.16,275,18.1
 286.0, 9812,-44.5,-54.5,-50.3, 32, 50, 0.08,275,19.3
 268.0,10244,-47.9,-51.2,-47.1, 69,110, 0.13,275,22.3
 261.0,10419,-49.1,-55.1,-50.9, 50, 80, 0.08,275,23.6
 255.0,10571,-50.4,-55.6,-51.4, 54, 88, 0.08,275,24.7
 250.0,10700,-51.5,-56.1,-51.8, 58, 96, 0.08,275,23.2
 223.0,11435,-57.1,-64.1,-59.6, 41, 72, 0.03,268,20.6
 213.0,11724,-58.6,-64.3,-59.8, 49, 86, 0.03,265,19.6
 205.0,11966,-59.9,-64.4,-59.9, 56,100, 0.03,271,23.9
 200.0,12120,-60.5,-65.5,-61.0, 52, 94, 0.03,275,26.8
 198.0,12182,-60.8,-65.8,-61.3, 52, 94, 0.03,280,26.8
 195.0,12277,-61.3,-66.3,-61.7, 52, 94, 0.03,280,26.2
 186.0,12570,-59.9,-76.9,-72.2, 10, 17, 0.01,262,18.4
 185.0,12603,-59.8,-77.1,-72.4,  9, 16, 0.01,260,17.5
 175.0,12951,-58.3,-79.3,-74.5,  5, 10, 0.00,275,21.1
 167.0,13244,-57.1,-81.1,-76.3,  4,  6, 0.00,273,19.9
 164.0,13358,-56.5,-81.5,-76.7,  3,  5, 0.00,273,19.4
 150.0,13920,-57.9,-82.9,-78.1,  3,  5, 0.00,270,17.0
 129.0,14863,-60.0,-85.0,-80.2,  3,  5, 0.00,265,19.0
 128.0,14912,-60.1,-85.1,-80.3,  3,  5, 0.00,264,18.2
 121.0,15265,-58.5,-85.3,-80.5,  2,  4, 0.00,255,11.8
 116.0,15530,-57.3,-85.4,-80.6,  2,  3, 0.00,255,12.9
 113.0,15694,-56.5,-85.5,-80.7,  2,  3, 0.00,285,11.8
 107.0,16036,-58.5,-86.1,-81.4,  2,  3, 0.00,305, 6.2
 105.0,16154,-59.1,-86.3,-81.6,  2,  3, 0.00,300, 5.2
 102.0,16336,-60.2,-86.7,-81.9,  2,  4, 0.00,280, 4.1
 100.0,16460,-60.9,-86.9,-82.1,  2,  4, 0.00,240, 7.7
  96.0,16715,-60.1,-86.8,-82.0,  2,  4, 0.00,255,13.4
  93.0,16913,-59.5,-86.7,-81.9,  2,  3, 0.00,245,13.4
  91.0,17048,-59.1,-86.6,-81.8,  2,  3, 0.00,260,14.9
  88.0,17258,-58.5,-86.5,-81.7,  2,  3, 0.00,280,10.1
  85.7,17425,-54.9,-85.9,-81.1,  1,  2, 0.00,295, 6.3
  85.0,17477,-55.0,-85.9,-81.2,  1,  2, 0.00,300, 5.2
  81.0,17783,-55.5,-86.2,-81.4,  1,  2, 0.00,230, 0.5
  70.0,18710,-56.9,-86.9,-82.1,  1,  2, 0.00,275, 3.6
  66.0,19083,-57.2,-86.8,-82.1,  1,  2, 0.00,200, 5.2
  64.0,19279,-57.4,-86.8,-82.0,  1,  3, 0.00,200, 7.7
  63.0,19379,-57.5,-86.8,-82.0,  1,  3, 0.00,230, 5.2
  61.0,19584,-57.6,-86.7,-82.0,  2,  3, 0.00,190, 1.5
  60.2,19667,-57.7,-86.7,-81.9,  2,  3, 0.00,196, 2.2
  57.0,20015,-57.0,-86.3,-81.5,  2,  3, 0.00,220, 5.2
  56.0,20128,-56.8,-86.2,-81.4,  1,  3, 0.00,260, 5.2
  53.0,20479,-56.1,-85.7,-81.0,  1,  3, 0.01, 35, 5.2
  50.0,20850,-55.3,-85.3,-80.5,  1,  2, 0.01, 55, 3.6
  48.0,21112,-55.0,-85.2,-80.4,  1,  2, 0.01, 75, 5.2
  47.0,21247,-54.8,-85.2,-80.4,  1,  2, 0.01, 75, 6.2
  45.0,21527,-54.4,-85.1,-80.3,  1,  2, 0.01,125, 6.2
  44.0,21671,-54.2,-85.0,-80.2,  1,  2, 0.01,115, 3.1
  43.0,21818,-54.1,-84.9,-80.2,  1,  2, 0.01, 85, 5.2
  42.0,21970,-53.9,-84.9,-80.1,  1,  2, 0.01,105, 8.8
  41.0,22124,-53.7,-84.8,-80.1,  1,  2, 0.01,120, 5.2
  40.0,22283,-53.5,-84.8,-80.0,  1,  2, 0.01, 80, 0.5
  39.0,22445,-53.3,-84.7,-79.9,  1,  2, 0.01, 55, 5.2
  37.0,22783,-52.8,-84.6,-79.8,  1,  2, 0.01, 95,10.3
  36.0,22959,-52.6,-84.5,-79.8,  1,  2, 0.01,135, 7.7
  35.0,23140,-52.4,-84.5,-79.7,  1,  2, 0.01,145, 5.2
  34.0,23326,-52.1,-84.4,-79.6,  1,  2, 0.01, 90, 5.2
  33.0,23518,-51.9,-84.3,-79.6,  1,  2, 0.01, 85, 8.2
  31.0,23919,-51.4,-84.2,-79.4,  1,  2, 0.01,150, 6.2
  30.0,24130,-51.1,-84.1,-79.3,  1,  2, 0.01,110, 3.6
  29.0,24352,-50.9,-84.0,-79.3,  1,  2, 0.01, 55, 1.5
  28.0,24581,-50.7,-84.0,-79.2,  1,  2, 0.01, 95, 5.2
  27.0,24819,-50.4,-83.9,-79.2,  1,  2, 0.01,100, 7.2
  26.0,25065,-50.2,-83.9,-79.1,  1,  2, 0.02, 55, 7.7
  25.0,25322,-49.9,-83.8,-79.1,  1,  2, 0.02, 60, 8.8
  24.0,25588,-49.7,-83.8,-79.0,  1,  2, 0.02,115, 9.8
  23.0,25867,-49.4,-83.7,-78.9,  1,  2, 0.02, 95, 8.2
  20.0,26780,-48.5,-83.5,-78.7,  1,  1, 0.02,100,13.4
  19.0,27123,-47.9,-83.3,-78.5,  1,  1, 0.02,105, 9.3
  17.0,27865,-46.6,-82.9,-78.1,  1,  1, 0.03,135, 7.7
  16.0,28270,-45.9,-82.6,-77.9,  1,  1, 0.03,150, 5.7
  15.0,28701,-45.1,-82.4,-77.6,  1,  1, 0.03, 50, 7.2
  13.0,29657,-43.4,-81.8,-77.1,  1,  1, 0.04,105, 7.7
  12.0,30191,-42.5,-81.5,-76.7,  1,  1, 0.05, 60, 8.2
  11.0,30778,-43.8,-81.2,-76.4,  1,  1, 0.05, 90,12.4
  10.8,30902,-44.1,-81.1,-76.3,  1,  1, 0.06, 87,11.9
  10.0,31420,-43.1,-81.1,-76.3,  1,  1, 0.06, 75, 9.8
   9.3,31909,-43.1,-81.1,-76.3,  1,  1, 0.07, 89,10.5
   9.0,32132,-40.9,-80.4,-75.6,  1,  1, 0.08, 95,10.8
   8.5,32522,-37.1,-79.1,-74.4,  1,  1, 0.10, 78,12.6
   8.0,32945,-35.6,-78.4,-73.6,  1,  1, 0.12, 60,14.4
   7.2,33679,-33.1,-77.1,-72.4,  0,  1, 0.16, 76,17.3
   7.0,33877,-33.4,-77.1,-72.4,  0,  1, 0.16, 80,18.0
   6.6,34289,-34.1,-77.1,-72.4,  1,  1, 0.17,   ,    
