pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
1011.0,   32, 22.8, 14.8, 14.8, 61, 61,10.52,190, 4.1
1004.0,   93, 20.8, 13.8, 13.8, 64, 64, 9.92,200, 4.1
1000.0,  128, 20.6, 14.6, 14.6, 69, 69,10.50,205, 4.1
 991.0,  205, 19.8, 14.2, 14.2, 70, 70,10.32,210, 5.2
 932.0,  731, 14.3, 11.5, 11.5, 84, 84, 9.21,200, 5.2
 931.0,  740, 14.2, 11.5, 11.5, 84, 84, 9.19,201, 5.2
 925.0,  795, 14.6,  8.6,  8.6, 67, 67, 7.60,205, 5.2
 902.0, 1008, 14.8, -1.2, -1.1, 33, 33, 3.88,210, 6.2
 882.0, 1197, 14.4, -7.6, -6.8, 21, 21, 2.44,215, 7.2
 858.0, 1429, 14.0,-15.5,-13.9, 12, 12, 1.33,240, 7.2
 850.0, 1508, 13.8,-18.2,-16.3,  9,  9, 1.07,235, 8.2
 834.0, 1668, 13.8,-23.2,-20.9,  6,  6, 0.71,239,10.1
 806.0, 1954, 11.7, -9.5, -8.4, 22, 22, 2.32,245,13.4
 792.0, 2100, 10.6, -2.4, -2.1, 40, 40, 4.05,243,12.5
 751.0, 2539,  7.1, -8.3, -7.4, 32, 32, 2.72,235, 9.8
 741.0, 2650,  6.2, -9.8, -8.7, 31, 31, 2.45,242,10.1
 716.0, 2930,  5.4,-29.9,-27.1,  6,  6, 0.45,260,10.8
 700.0, 3115,  4.8,-43.2,-39.5,  2,  2, 0.12,250,13.4
 674.0, 3423,  3.4,-45.6,-41.8,  1,  1, 0.10,258,11.7
 668.0, 3495,  3.0,-44.6,-40.8,  2,  2, 0.11,260,11.3
 657.0, 3628,  2.2,-42.7,-39.1,  2,  2, 0.14,245,14.4
 640.0, 3840,  1.0,-39.8,-36.3,  3,  3, 0.19,260,13.9
 629.0, 3979,  0.2,-37.8,-34.4,  4,  4, 0.24,262,14.0
 576.0, 4666, -5.4,-31.5,-28.5, 11, 11, 0.48,270,14.4
 542.0, 5141, -9.2,-27.1,-24.5, 22, 24, 0.77,250,14.9
 508.0, 5646,-13.3,-22.4,-20.2, 46, 53, 1.24,260,16.0
 500.0, 5770,-14.3,-21.3,-19.1, 55, 64, 1.40,250,15.4
 496.0, 5831,-14.9,-22.9,-20.6, 51, 58, 1.22,246,15.6
 490.0, 5923,-15.8,-21.7,-19.5, 60, 70, 1.38,240,16.0
 482.0, 6047,-16.9,-20.0,-18.0, 77, 91, 1.62,244,16.4
 480.0, 6078,-17.1,-20.2,-18.1, 77, 91, 1.60,246,16.5
 472.0, 6204,-18.0,-25.4,-22.9, 52, 62, 1.02,250,17.0
 471.0, 6219,-18.1,-26.1,-23.5, 50, 59, 0.97,250,17.0
 456.0, 6460,-20.1,-22.2,-20.0, 83,101, 1.42,246,17.0
 430.0, 6891,-22.8,-24.0,-21.6, 90,113, 1.29,240,17.0
 409.0, 7258,-25.1,-25.5,-22.9, 97,123, 1.18,245,18.0
 407.0, 7294,-25.3,-25.6,-23.1, 97,125, 1.17,248,18.2
 400.0, 7420,-25.3,-25.6,-23.1, 97,125, 1.19,260,19.0
 392.0, 7566,-26.2,-26.9,-24.3, 94,121, 1.08,265,20.1
 386.0, 7678,-26.9,-27.9,-25.2, 91,119, 1.00,264,20.4
 328.0, 8816,-36.5,-38.4,-35.0, 83,118, 0.43,250,23.7
 302.0, 9394,-41.3,-43.7,-40.0, 78,116, 0.27,240,19.0
 300.0, 9440,-41.7,-44.1,-40.4, 77,116, 0.26,240,19.0
 259.0,10412,-50.7,-54.7,-50.5, 63,103, 0.09,244,20.3
 255.0,10513,-51.5,-52.7,-48.6, 87,144, 0.11,244,20.4
 250.0,10640,-52.9,-57.9,-53.6, 55, 92, 0.06,245,20.6
 249.0,10666,-53.1,-59.1,-54.7, 48, 81, 0.05,245,20.7
 242.0,10849,-54.9,-57.4,-53.1, 74,126, 0.07,247,21.3
 233.0,11090,-57.1,-61.4,-57.0, 58,102, 0.04,250,22.1
 222.0,11396,-57.5,-64.5,-60.0, 41, 72, 0.03,250,23.5
 216.0,11570,-55.9,-71.9,-67.2, 12, 21, 0.01,250,24.3
 213.0,11659,-55.9,-71.9,-67.2, 12, 21, 0.01,250,24.7
 200.0,12060,-55.7,-71.7,-67.0, 12, 21, 0.01,260,27.8
 193.0,12288,-55.4,-73.4,-68.7,  9, 16, 0.01,260,28.8
 181.0,12698,-54.9,-76.4,-71.7,  6, 10, 0.01,285,18.0
 173.0,12987,-54.6,-78.5,-73.8,  4,  7, 0.01,275,11.3
 170.0,13099,-54.4,-79.4,-74.6,  3,  6, 0.00,265,12.4
 160.0,13487,-53.9,-82.2,-77.4,  2,  3, 0.00,280,21.6
 155.0,13690,-53.7,-83.7,-78.9,  2,  3, 0.00,290,20.1
 150.0,13900,-54.3,-84.3,-79.5,  2,  3, 0.00,290,13.4
 143.0,14202,-55.1,-84.8,-80.0,  2,  3, 0.00,285, 9.8
 135.0,14566,-56.1,-85.3,-80.6,  2,  3, 0.00,265,11.8
 123.0,15154,-57.7,-86.3,-81.5,  2,  3, 0.00,285,10.8
 121.0,15258,-57.9,-86.4,-81.7,  2,  3, 0.00,275, 8.8
 118.0,15416,-58.4,-86.7,-81.9,  2,  3, 0.00,250,10.8
 114.0,15634,-59.0,-87.0,-82.2,  2,  3, 0.00,250,14.4
 113.0,15690,-59.1,-87.1,-82.3,  2,  3, 0.00,255,14.9
 112.0,15746,-58.8,-87.1,-82.3,  2,  3, 0.00,260,15.4
 107.0,16034,-57.5,-86.8,-82.1,  1,  3, 0.00,280,11.8
 103.0,16274,-56.4,-86.6,-81.9,  1,  2, 0.00,275,12.4
 100.0,16460,-55.5,-86.5,-81.7,  1,  2, 0.00,300,10.8
  94.9,16794,-54.9,-85.9,-81.1,  1,  2, 0.00,325, 6.0
  94.0,16855,-55.3,-86.0,-81.2,  1,  2, 0.00,330, 5.2
  90.0,17131,-57.2,-86.5,-81.8,  1,  3, 0.00,  0, 0.0
  88.9,17209,-57.7,-86.7,-81.9,  2,  3, 0.00,309, 1.9
  87.0,17347,-57.4,-86.7,-82.0,  1,  3, 0.00,220, 5.2
  84.0,17570,-56.9,-86.8,-82.0,  1,  2, 0.00,270, 5.2
  80.0,17880,-56.2,-86.8,-82.0,  1,  2, 0.00,230, 7.2
  74.0,18375,-55.1,-86.9,-82.1,  1,  2, 0.00,150, 0.5
  73.2,18444,-54.9,-86.9,-82.1,  1,  2, 0.00,172, 0.6
  70.0,18730,-55.3,-87.3,-82.5,  1,  2, 0.00,265, 1.0
  63.0,19397,-56.6,-87.7,-82.9,  1,  2, 0.00,150, 5.2
