pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
  56.0,20143,-58.1,-88.1,-83.3,  1,  2, 0.00,155, 5.2
  55.9,20154,-58.1,-88.1,-83.3,  1,  2, 0.00,157, 5.2
  54.0,20373,-57.2,-87.9,-83.1,  1,  2, 0.00,195, 5.2
  50.0,20860,-55.3,-87.3,-82.5,  1,  2, 0.00, 85, 4.6
  49.0,20990,-55.1,-87.2,-82.5,  1,  2, 0.00, 95, 5.2
  47.0,21257,-54.8,-87.1,-82.3,  1,  2, 0.00, 50, 5.2
  45.0,21537,-54.5,-86.9,-82.1,  1,  2, 0.01, 95, 5.2
  44.0,21681,-54.3,-86.8,-82.0,  1,  2, 0.01, 90, 3.1
  42.0,21980,-53.9,-86.6,-81.9,  1,  2, 0.01, 80, 7.7
  40.0,22293,-53.6,-86.4,-81.7,  1,  2, 0.01,110, 5.2
  38.0,22622,-53.2,-86.2,-81.5,  1,  2, 0.01, 75, 2.1
  37.0,22793,-52.9,-86.1,-81.4,  1,  2, 0.01, 80, 5.2
  36.0,22969,-52.7,-86.0,-81.2,  1,  2, 0.01,100,10.3
  34.0,23336,-52.3,-85.8,-81.0,  1,  2, 0.01,135, 5.7
  32.0,23726,-51.8,-85.6,-80.8,  1,  2, 0.01,100, 5.7
  30.0,24140,-51.3,-85.3,-80.5,  1,  1, 0.01,135, 8.8
  29.0,24361,-49.9,-85.5,-80.7,  1,  1, 0.01,130, 6.7
  28.7,24429,-49.5,-85.5,-80.7,  1,  1, 0.01,124, 6.6
  27.0,24830,-49.3,-85.3,-80.5,  1,  1, 0.01, 90, 6.2
  26.0,25078,-49.2,-85.2,-80.4,  1,  1, 0.01,120, 9.3
  24.0,25603,-48.9,-84.9,-80.1,  1,  1, 0.01,125, 8.2
  23.0,25882,-48.8,-84.8,-80.0,  1,  1, 0.01,100, 8.8
  22.0,26174,-48.6,-84.6,-79.8,  1,  1, 0.02,130, 6.2
  21.0,26480,-48.5,-84.5,-79.7,  1,  1, 0.02,105, 4.1
  20.0,26800,-48.3,-84.3,-79.5,  1,  1, 0.02, 60, 8.8
  19.0,27138,-47.7,-84.2,-79.4,  1,  1, 0.02, 80, 9.8
  18.0,27495,-47.1,-84.1,-79.3,  1,  1, 0.02, 80,10.0
  17.4,27719,-47.5,-83.5,-78.7,  1,  1, 0.02, 80,10.2
  15.0,28719,-45.1,-82.7,-77.9,  1,  1, 0.03, 80,10.8
  13.0,29683,-42.8,-81.9,-77.2,  1,  1, 0.04,100,11.3
  12.0,30222,-41.5,-81.5,-76.7,  1,  1, 0.05, 85,11.8
  11.0,30808,-40.0,-81.0,-76.3,  1,  1, 0.06, 95,16.0
  10.0,31450,-38.5,-80.5,-75.7,  0,  1, 0.07,105, 9.8
   9.0,32184,-36.6,-79.1,-74.4,  0,  1, 0.09, 70,11.3
   8.0,33004,-34.4,-77.6,-72.9,  1,  1, 0.13,115, 9.3
   7.0,33934,-31.9,-75.9,-71.2,  1,  1, 0.19, 95, 5.2
