Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,78.2185000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,10.5685000000,µg/m3,2022-01-01 02:00:00 +01:00,2022-01-01 03:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.5153500000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.0441100000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,5.5410400000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.7791600000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,10.6630000000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,15.7588000000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,20.0499000000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,26.7676000000,µg/m3,2022-01-01 10:00:00 +01:00,2022-01-01 11:00:00 +01:00,1,3
