Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,,µg/m3,2021-01-01 00:00:00 +01:00,2021-01-01 01:00:00 +01:00,-1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,775.5710000000,µg/m3,2021-01-01 02:00:00 +01:00,2021-01-01 03:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,800.6950000000,µg/m3,2021-01-01 03:00:00 +01:00,2021-01-01 04:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,362.5330000000,µg/m3,2021-01-01 05:00:00 +01:00,2021-01-01 06:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,56.7032000000,µg/m3,2021-01-01 06:00:00 +01:00,2021-01-01 07:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,6.0318300000,µg/m3,2021-01-01 07:00:00 +01:00,2021-01-01 08:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,1.5771800000,µg/m3,2021-01-01 08:00:00 +01:00,2021-01-01 09:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,2.2793100000,µg/m3,2021-01-01 11:00:00 +01:00,2021-01-01 12:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,1.1489300000,µg/m3,2021-01-01 12:00:00 +01:00,2021-01-01 13:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,0.7427090000,µg/m3,2021-01-01 13:00:00 +01:00,2021-01-01 14:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,1.5036000000,µg/m3,2021-01-01 14:00:00 +01:00,2021-01-01 15:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,3.0451600000,µg/m3,2021-01-01 15:00:00 +01:00,2021-01-01 16:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,1.9202900000,µg/m3,2021-01-01 16:00:00 +01:00,2021-01-01 17:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,3.8549300000,µg/m3,2021-01-01 17:00:00 +01:00,2021-01-01 18:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,3.2270400000,µg/m3,2021-01-01 18:00:00 +01:00,2021-01-01 19:00:00 +01:00,1,1
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,5.8624000000,µg/m3,2021-01-01 19:00:00 +01:00,2021-01-01 20:00:00 +01:00,1,1
