Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.21,-.18,-.17,***,***,-.12,-.16,-.19
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.04,-.15,-.22,-.19,-.07,-.09,-.10,-.17,.05,-.08,-.19
1882,.16,.14,.05,-.17,-.14,-.23,-.16,-.07,-.14,-.23,-.16,-.35,-.11,-.09,.08,-.09,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.17,-.08,-.06,-.14,-.21,-.11,-.23,-.11,-.17,-.19,-.34,-.16,-.09,-.18
1884,-.13,-.07,-.36,-.40,-.34,-.36,-.30,-.27,-.27,-.25,-.33,-.30,-.28,-.27,-.10,-.37,-.31,-.28
1885,-.58,-.34,-.27,-.42,-.45,-.44,-.34,-.31,-.28,-.23,-.24,-.11,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.28,-.25,-.31,-.30,-.35,-.32,-.28,-.26
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.33,-.36,-.36,-.51,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.01,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.09,.17,.06,.10,-.01,-.10,-.07,-.20,-.23,-.25,-.33,-.29,-.10,-.08,.01,.05,-.13,-.27
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.36,-.25,-.43,-.32,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.46,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.80,-.56,-.22,-.27,-.33,-.25,-.13,-.25,-.22,-.19,-.19,-.34,-.31,-.32,-.58,-.27,-.21,-.20
1894,-.53,-.31,-.23,-.45,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.22,-.31,-.32,-.39,-.33,-.30,-.26
1895,-.42,-.43,-.34,-.22,-.28,-.21,-.18,-.18,-.12,-.10,-.17,-.14,-.23,-.24,-.36,-.28,-.19,-.13
1896,-.22,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.06,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.16,-.13,-.01,-.01,-.11,-.02,-.09,-.08,-.12,-.18,-.20,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.02,-.30,-.51,-.31,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.04,-.03,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.22,-.11,.06,-.03,-.15,-.12,-.14,-.20,-.22,-.29,-.16,-.27,-.15,-.14,-.13,-.04,-.15,-.23
1902,-.15,-.09,-.27,-.27,-.33,-.32,-.27,-.30,-.28,-.29,-.36,-.41,-.28,-.27,-.17,-.29,-.30,-.31
1903,-.24,-.05,-.23,-.41,-.39,-.42,-.34,-.45,-.49,-.46,-.41,-.50,-.37,-.36,-.23,-.34,-.41,-.45
1904,-.62,-.58,-.50,-.50,-.52,-.48,-.51,-.49,-.56,-.39,-.17,-.33,-.47,-.49,-.57,-.51,-.49,-.37
1905,-.35,-.59,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.19,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.46,-.47,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.44,-.52,-.49,-.43,-.42,-.41,-.45,-.39,-.44
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.34,-.38,-.40,-.32,-.56,-.48,-.48,-.56,-.56,-.44,-.37
1910,-.42,-.41,-.50,-.42,-.34,-.38,-.34,-.37,-.39,-.41,-.57,-.67,-.44,-.43,-.46,-.42,-.36,-.46
1911,-.62,-.58,-.61,-.54,-.52,-.50,-.42,-.44,-.41,-.26,-.22,-.22,-.44,-.48,-.62,-.55,-.45,-.30
1912,-.26,-.16,-.39,-.18,-.21,-.24,-.42,-.55,-.57,-.58,-.40,-.43,-.37,-.35,-.21,-.26,-.41,-.52
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.33,-.34,-.32,-.20,-.02,-.34,-.38,-.43,-.42,-.38,-.29
1914,.05,-.10,-.24,-.29,-.21,-.25,-.23,-.16,-.16,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.20,-.03,-.10,.07,-.06,-.22,-.12,-.22,-.20,-.24,-.13,-.21,-.14,-.12,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.35,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.56,-.63,-.63,-.54,-.55,-.43,-.25,-.22,-.22,-.44,-.34,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.34,-.24,-.44,-.43,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.23,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.22,-.29,-.30,-.26,-.14,-.26,-.19,-.03,-.14,-.17,-.19,-.21,-.23,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.30,-.27,-.32,-.35,-.31,-.14,-.19,-.28,-.28,-.32,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.13,-.03,-.03,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.22,-.23,-.08,-.30,-.18,-.26,-.29,-.36,-.32,-.35,-.20,-.43,-.27,-.24,-.16,-.19,-.30,-.29
1925,-.37,-.39,-.27,-.26,-.29,-.33,-.27,-.21,-.19,-.17,.06,.06,-.22,-.26,-.40,-.27,-.27,-.10
