Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.5366295000,µg/m3,2022-01-01 17:00:00 +01:00,2022-01-01 18:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,7.0540317000,µg/m3,2022-01-01 18:00:00 +01:00,2022-01-01 19:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,6.0944071000,µg/m3,2022-01-01 19:00:00 +01:00,2022-01-01 20:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,6.3390931000,µg/m3,2022-01-01 20:00:00 +01:00,2022-01-01 21:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,5.8982362000,µg/m3,2022-01-01 21:00:00 +01:00,2022-01-01 22:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,5.2930554000,µg/m3,2022-01-01 22:00:00 +01:00,2022-01-01 23:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,3.9453186000,µg/m3,2022-01-01 23:00:00 +01:00,2022-01-02 00:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,6.1547026000,µg/m3,2022-01-02 00:00:00 +01:00,2022-01-02 01:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,6.3017967000,µg/m3,2022-01-02 01:00:00 +01:00,2022-01-02 02:00:00 +01:00,1,3
FI,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,SPO-FI00301_00005_100,SPP-FI_A_1440_22_5,SPO_F-FI00301_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,7.0697890000,µg/m3,2022-01-02 02:00:00 +01:00,2022-01-02 03:00:00 +01:00,1,3
